0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,true_label,svm_pred,rf_pred
-0.836492,-0.9260172,-0.36880243,0.008646144,-0.25729236,-0.29695854,-0.76591283,0.26769277,-1.6369437,-0.30116284,1.3688334,-0.2472334,-0.9062614,0.19440232,0.20309624,0.043902345,0.13509156,0.14348091,0.070874214,-0.09532104,-0.41144252,-0.63145006,-0.675156,-0.73858476,-0.80883247,-0.9004826,-0.4709791,-0.90737236,-0.9790878,-0.9313012,-0.8882131,-0.935417,-0.8992747,-0.40001386,0.03931982,0.21103264,0.24348514,0.21874395,0.45073527,fearful,neutral,neutral
0.18696588,-1.5115035,-1.2811621,-0.58290064,-1.0633191,-0.9878912,-0.7305805,-0.12681909,-0.11525039,-1.0324651,1.1964319,-0.02569399,-1.6478074,0.07318143,-0.031635225,-0.21705572,-0.11346297,-0.050687786,-0.051866196,-0.062608816,-0.12786542,-0.2126011,-0.16480036,-0.08257955,-0.042595237,-0.0723799,0.051393908,-0.05662399,-0.17413282,-0.11686849,-0.041835833,0.017262815,-0.028037285,-0.029831974,-0.09413011,-0.09399198,0.008501649,0.074229114,0.13549493,happy,happy,happy
1.1587318,-1.8200003,-0.14600535,-0.1102435,0.059384942,-0.73432535,-0.76777345,1.5696541,1.1984794,-0.54149824,0.49666804,0.4683619,-0.4960122,0.019276708,-0.14797243,-0.3928994,-0.37100688,-0.36235327,-0.41176775,-0.4248418,-0.532888,-0.53872997,-0.47984463,-0.4705802,-0.5029402,-0.57089907,-0.09087289,-0.31707713,-0.50971264,-0.5840305,-0.5710104,-0.5673642,-0.6947973,-0.7124126,-0.71806157,-0.7122552,-0.7035924,-0.70872545,-0.696644,angry,angry,angry
0.27412957,-1.1744367,-0.58416986,-1.0330994,1.133234,-0.38009557,-0.34625903,1.2235104,1.1634673,0.038816497,1.4657062,0.38137093,-0.1517614,0.20418614,0.25095743,0.20928007,0.5089892,0.6992959,0.80939037,0.79844445,0.8274169,0.54983073,0.5645085,0.8059829,0.99941295,1.042013,-0.02925097,-0.20436083,-0.3650733,-0.3840212,-0.34652275,-0.32217288,-0.41889313,-0.43419784,-0.46788305,-0.4685735,-0.42777988,-0.41061532,-0.38488263,happy,angry,angry
0.65286976,1.3543694,-0.2552304,1.0107546,0.049644303,0.44420552,1.2630287,0.26748842,-0.47535697,1.0191016,-0.04800721,-1.1278653,1.8964337,3.042335,4.5670276,2.03844,0.19821018,0.70068157,1.4312042,1.08662,0.04698405,-1.4567307,-2.5318766,-1.6237805,3.137291,5.0937114,-1.359289,-0.90442115,1.385401,1.6957383,0.8145491,0.18399349,-0.7881261,-0.49160203,-0.01798185,0.8086511,2.2370155,0.9513293,0.17507252,calm,calm,happy
-0.33596,1.0027376,1.5779518,0.91414064,1.3269583,0.46600735,-0.11190491,0.7424076,1.6075499,1.2533596,0.9770268,0.30604747,0.46727443,0.064786464,-0.04967139,-0.24416831,-0.15341395,-0.10080632,-0.1146719,-0.13471444,-0.2235449,-0.30596444,-0.27432364,-0.24445857,-0.2684422,-0.35297877,0.21954314,0.25127894,0.2222706,0.4327832,0.57420814,0.6835526,0.7050338,0.6809482,0.5081351,0.44620487,0.55766165,0.593883,0.5997389,angry,happy,sad
-2.1834164,0.027216885,2.2175508,0.8812399,1.2549706,0.44439244,1.2348739,-1.4739136,0.27599,0.49528372,-0.49411014,-0.80091536,-0.2279182,0.073180705,-0.03163476,-0.21705493,-0.1134641,-0.050687436,-0.051867373,-0.062608816,-0.12786548,-0.21260147,-0.16480045,-0.08257955,-0.042596254,-0.07237931,0.051351734,-0.056623578,-0.17413267,-0.11686821,-0.04183633,0.017263893,-0.02803554,-0.029831564,-0.09413088,-0.09399233,0.008501918,0.074229725,0.13549352,sad,sad,sad
2.3886693,-1.6432948,-1.5422814,-1.3150871,-1.9159579,-1.3528181,-1.0293461,-0.24567522,-0.33100224,-0.5666791,1.0310041,-0.4910606,-0.5922853,0.07317939,-0.031636264,-0.21705416,-0.11346327,-0.050686743,-0.051866606,-0.06260801,-0.12786368,-0.21260074,-0.16480106,-0.08257999,-0.042595237,-0.07237875,0.051384754,-0.056622557,-0.17413178,-0.11686649,-0.041835833,0.017263282,-0.028035318,-0.029832387,-0.0941316,-0.09399113,0.0085013695,0.074228965,0.13549311,angry,angry,angry
1.0267942,0.7380514,1.1858765,1.2848089,0.20283863,1.1701137,2.0863528,1.3692266,0.64424306,0.23115534,-0.24354456,0.2335586,1.4151464,-1.1921662,-1.2791094,0.8744975,0.6246241,-1.7815328,-0.622569,0.64731073,-0.41176367,0.7195998,3.0387588,3.0899687,0.10640043,-1.5909536,-0.586114,-0.06755049,1.4057771,1.1715919,0.8837823,1.8895886,0.39936236,-0.9021918,1.2846925,2.2394452,0.84077674,-0.032168154,-0.22850342,fearful,fearful,fearful
0.22159725,-0.38617885,-2.0428414,-1.5350573,-0.07448296,-2.097924,-0.5266818,0.814042,-0.14039786,-1.536319,1.0731997,0.08550277,-1.6740779,0.07317314,-0.03163751,-0.21705426,-0.11346355,-0.050687436,-0.051866606,-0.06260969,-0.12786432,-0.21260147,-0.16480036,-0.082579836,-0.042595353,-0.07237931,0.051372908,-0.056621723,-0.17413275,-0.1168683,-0.04183526,0.017263899,-0.028037226,-0.029832197,-0.09413157,-0.09399203,0.008502126,0.07422864,0.13549398,happy,happy,happy
