0,1,2,3,4,5,6,7,8,9,10,11,12,label
-500.63312,80.81586,-17.765604,9.842897,3.4321117,7.5418262,-13.153061,2.5212095,-5.9254045,-1.8376257,-9.058564,-4.7200375,0.811354,angry
-492.31686,55.748997,-29.86481,1.7292402,-0.58120847,-9.840275,-16.187035,5.726618,-8.322392,-14.231465,-1.3476492,-3.7604187,-5.86847,angry
-463.00864,88.94545,-29.092308,16.086353,0.99205804,3.000047,-14.257489,-1.6738813,-13.99067,-10.658787,-6.1444755,-5.500085,-3.4829085,angry
-535.9351,51.418804,-31.643148,5.9345856,-4.175935,-6.175245,-16.705822,0.78956103,-14.325804,-12.600585,-3.486481,-4.7927685,-5.7687273,angry
-546.1286,100.998146,-15.279259,8.643011,7.6951714,7.9143434,-25.609636,-5.657175,2.133885,-1.5761329,-7.847473,-3.4021707,1.0300977,angry
-603.79956,58.91857,-29.995863,-0.19119042,1.6980395,-2.9765074,-20.409433,0.1373748,-8.502343,-15.800434,-4.1220965,1.2194464,-5.115701,angry
-548.1975,73.751915,-5.673456,15.314538,7.1344366,8.7504015,-10.8680315,1.159836,-3.1708353,-11.109608,-2.6706455,0.17293629,-1.5653181,angry
-539.5596,54.719822,-15.969701,6.555265,2.1907377,1.9886065,-16.56913,5.6595063,-1.6036347,-12.35399,-6.007082,-0.9921318,-6.631826,angry
-538.6261,85.60193,-13.136341,1.169211,6.2402306,23.181044,-12.666566,-6.5680227,-1.6139739,-3.0365698,-7.4543295,-4.5751724,-2.7168286,angry
-456.49878,61.48338,-29.001768,6.681371,1.5629852,-4.361347,-22.316702,-1.46038,-10.401089,-19.874199,-9.0129385,-6.448647,-6.3670073,angry
-553.3804,84.497536,-1.9763738,12.386484,-0.16826619,5.5574765,-8.586687,2.6990693,-4.3589087,-4.314126,-5.820261,-5.477423,1.7036387,angry
-514.7486,54.92214,-20.484108,2.2196066,-5.1258297,-2.1762109,-14.672311,-2.7222946,-4.5934567,-12.980952,-7.367753,-1.4431001,-5.8268423,angry
-596.97455,88.14755,-13.087276,14.043945,1.3177942,9.164204,-5.606851,-3.1419494,-5.11951,-5.136083,-10.9599085,-3.8993611,5.280593,angry
-567.8463,60.14388,-22.125975,2.615147,-8.9027815,-7.5891156,-17.429771,5.266331,-10.163908,-9.09487,-1.9105452,-6.638595,-4.0099764,angry
-535.39514,85.797226,-10.385862,10.835141,8.702801,14.816463,-11.417029,4.5067186,3.7992115,-4.039493,-6.2465534,3.4565125,2.0905535,angry
-590.4045,69.14015,-19.977634,4.1627154,1.2661372,0.9117557,-17.349886,-6.4246783,-11.442989,-11.046608,-9.498141,-0.2787042,-5.2776217,angry
-467.69034,88.74353,-22.824917,8.650245,8.164047,12.590627,-8.842552,4.703669,0.5902084,-11.224525,-5.6812215,3.2258606,0.323955,angry
-548.03296,89.20175,-19.560074,7.244431,-2.1930332,6.12573,-13.756643,0.2576619,-1.2992766,-7.7260466,-11.273436,-4.887131,5.1071033,angry
-499.08038,47.160873,-33.753654,6.017386,-15.199671,-11.673475,-16.167246,-0.47638622,-7.0155807,-18.596403,-3.1876376,-4.6897507,-12.1660385,angry
-445.75,83.87048,-17.405909,8.36822,-1.1144375,9.199697,-12.850394,-13.499952,-3.13314,-4.2555113,-19.976513,-8.105661,5.5411696,angry
-453.45828,50.37679,-26.921886,0.13355277,-12.545181,-0.6015525,-23.906153,-4.567072,-8.078338,-11.877048,-17.796253,-4.579019,-2.9461653,angry
-487.6734,82.61396,-15.0745,3.8306715,4.4898496,9.007703,-10.144873,-2.016438,-4.782279,-5.008298,-8.467756,-6.690725,-0.44333977,angry
-567.67535,55.791077,-21.789093,2.2080915,-10.450272,-6.2761984,-16.280218,-3.4595912,-9.018408,-11.25663,-6.344593,-3.805,-9.098744,angry
-508.26337,80.07906,-19.792006,14.761261,-0.068943076,6.2106957,-15.122687,0.2403202,-4.9570246,-5.0928802,-9.11955,-4.366463,-0.21820106,angry
-494.86285,57.62001,-32.625614,0.4130947,-0.30344608,-9.069501,-20.062754,2.674582,-4.4493995,-16.569078,-1.3933406,-2.8938322,-7.767899,angry
-459.29318,91.25065,-26.677694,16.494768,0.097070485,2.4019537,-12.410131,-6.3872037,-14.181166,-12.359076,-5.770917,-8.378578,-5.013969,angry
-525.3452,50.806614,-27.364336,6.9519577,-2.9210649,-6.017697,-14.191141,3.2244856,-11.020612,-10.600572,-3.0595715,-6.6716,-6.860723,angry
-532.65906,103.15444,-19.516502,5.0278473,11.154557,13.009176,-24.680342,-6.5133643,-2.5806358,-2.4292858,-5.0548835,-3.296193,0.45404994,angry
-581.7492,66.77028,-36.957085,-2.7281756,4.1210017,-1.3268062,-21.779018,-1.304221,-10.886545,-17.652853,-0.7391312,1.455628,-5.259005,angry
-571.9732,89.06659,-6.934326,16.313833,6.958763,12.4615345,-14.783644,-3.9336762,-2.4054923,-8.827236,-3.789343,0.83460474,-2.1448069,angry
-515.16064,54.347576,-13.566668,8.408081,3.0373695,-0.08404194,-16.827995,8.27685,-0.4673561,-9.368718,-3.2492945,-0.8830209,-4.0868793,angry
-552.92566,87.51366,-14.709785,-0.9539003,7.936258,18.78567,-13.171955,-5.7203026,-1.184561,-3.7396877,-9.749658,-3.2750962,-4.354626,angry
-445.66068,64.94413,-29.856062,1.993403,-0.053742535,-4.165922,-22.209055,-2.0687451,-14.184502,-22.356468,-7.6936345,-4.4853606,-8.3844,angry
-555.2394,90.23532,-1.5101476,15.815094,0.5553889,7.767415,-8.234448,4.1189094,-2.294435,-3.3438563,-5.812285,-6.993356,3.884164,angry
-538.5312,51.53431,-22.049747,8.070971,-7.0053086,-1.264782,-13.021045,-2.4951723,-5.1895776,-14.435111,-5.2931705,0.7266448,-6.9775934,angry
-574.3178,87.264946,-19.604624,13.131933,4.408643,8.300213,-7.6465516,-2.083564,-8.403063,-7.059523,-13.376165,-3.2762775,8.112034,angry
-558.2746,57.00571,-32.66631,-0.6319429,-7.508143,-10.543504,-18.843994,4.862978,-14.60044,-8.901426,-0.80871373,-7.5903234,-6.500866,angry
-467.7169,77.473175,-15.993428,9.224144,4.814263,15.436856,-12.740803,-2.2300103,5.7492747,-1.3545654,-7.4778333,-0.07432135,-0.45508894,angry
-584.05896,62.27003,-12.560329,5.3244066,0.7959395,2.732072,-14.391687,-4.412381,-8.76171,-10.598679,-7.962049,-0.34541875,-5.7810373,angry
-447.31088,83.40015,-18.213036,6.5952153,2.9446073,12.47224,-11.144501,1.9631876,1.6540803,-10.320182,-8.869399,4.27229,1.4749236,angry
